Hash,File,Operator,Start,End,StartLine,EndLine,Original,Replacement,Status,Time(ms)
meb323266,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,734,738,21,21," != "," >  ",live,3988
mefd8e020,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,734,738,21,21," != ","  < ",killed,3375
m6c684270,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,734,738,21,21," != "," <= ",killed,3137
mb8ccd0b6,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,734,738,21,21," != "," >= ",killed,3060
m3441cfb8,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,734,738,21,21," != "," == ",killed,2908
mc6d538af,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,848,851,23,23," < "," <= ",live,4172
m70820f35,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,848,851,23,23," < "," >=  ",killed,3013
m342553ff,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,848,851,23,23," < "," > ",killed,3206
m02743863,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,848,851,23,23," < "," != ",killed,3158
m8e8dc916,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,848,851,23,23," < "," == ",killed,2959
m617da2ae,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,937,940,24,24," - "," + ",live,4056
m8d9a35f4,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,937,940,24,24," - "," * ",killed,3023
mb27ad171,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,937,940,24,24," - "," / ",killed,3122
me2d9adda,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,937,940,24,24," - "," ** ",killed,3004
m906317c5,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,937,940,24,24," - "," % ",killed,2949
m5b18b25e,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,1051,1054,26,26," - "," + ",killed,2957
m6c51f46c,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,1051,1054,26,26," - "," * ",killed,3033
m28852f64,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,1051,1054,26,26," - "," / ",killed,3176
ma9cc79d6,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,1051,1054,26,26," - "," ** ",killed,3077
m8ead11ef,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,BOR,1051,1054,26,26," - "," % ",killed,2974
m192a36ed,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,CCD,297,417,10,13,"constructor(string memory name_, string memory symbol_)        ERC20(name_, symbol_)        Ownable(msg.sender)    {}",,stillborn,696
mb82ef0d7,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,CSC,836,857,23,23,tokenBalance < amount,true,killed,2991
m82b7ec65,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,CSC,836,857,23,23,tokenBalance < amount,false,killed,3031
m2458d678,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,CSC,981,1089,23,27," else { // else well... burn it            _burn(target, tokenBalance - amount); // short-circuit        }",,killed,3003
m8784efc0,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,DLR,309,328,10,10,string memory name_,string storage name_,stillborn,674
m50e99cd4,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,DLR,330,351,10,10,string memory symbol_,string storage symbol_,stillborn,661
mdef8be7c,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,EHC,720,773,21,21,"require(target != address(0), ""must specify target"");","/* require(target != address(0), ""must specify target""); */",killed,2957
m8e9ae87a,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,ILR,746,747,21,21,0,1,killed,2929
mde6227ad,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,MOC,297,415,10,13,"constructor(string memory name_, string memory symbol_)        ERC20(name_, symbol_)        Ownable(msg.sender)    ","constructor(string memory name_, string memory symbol_)        Ownable(msg.sender)        ERC20(name_, symbol_)    ",live,3995
m1a436223,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,MOD,297,415,10,13,"constructor(string memory name_, string memory symbol_)        ERC20(name_, symbol_)        Ownable(msg.sender)    ","constructor(string memory name_, string memory symbol_)                Ownable(msg.sender)    ",stillborn,655
mccfc1679,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,MOD,297,415,10,13,"constructor(string memory name_, string memory symbol_)        ERC20(name_, symbol_)        Ownable(msg.sender)    ","constructor(string memory name_, string memory symbol_)        ERC20(name_, symbol_)            ",stillborn,679
m37f74910,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,MOD,423,513,15,15,"function mintTokensToAddress(address recipient, uint256 amount)  public virtual onlyOwner ","function mintTokensToAddress(address recipient, uint256 amount)  public virtual  ",killed,3186
m8fc1d4cb,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,MOD,621,710,20,20,"function changeBalanceAtAddress(address target, uint256 amount) public virtual onlyOwner ","function changeBalanceAtAddress(address target, uint256 amount) public virtual  ",killed,2972
m1c01c364,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,MOD,1168,1254,31,31,"function authoritativeTransferFrom(address from, address to) public virtual onlyOwner ","function authoritativeTransferFrom(address from, address to) public virtual  ",killed,2968
mb883bebc,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-god.sol,TOR,399,409,12,12,msg.sender,tx.origin,live,4024
ma1ee9e10,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,615,618,11,11," * "," + ",killed,3257
maa8a78ca,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,615,618,11,11," * "," - ",stillborn,679
mef8f3f67,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,615,618,11,11," * "," / ",stillborn,659
m2a1cb835,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,615,618,11,11," * "," ** ",stillborn,651
m5f9d1ba6,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,615,618,11,11," * "," % ",killed,3075
m571d3513,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,695,698,12,12," * "," + ",killed,3086
m89ada96a,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,695,698,12,12," * "," - ",stillborn,658
m0f90f636,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,695,698,12,12," * "," / ",stillborn,661
mdd6c258b,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,695,698,12,12," * "," ** ",stillborn,643
m9875279f,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,695,698,12,12," * "," % ",killed,3085
md02da9f7,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1100,1104,30,30," == "," <= ",untested,0
mc451c733,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1100,1104,30,30," == "," >= ",untested,0
m1dc9790f,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1100,1104,30,30," == ","  < ",untested,0
m4578855c,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1100,1104,30,30," == ","  > ",untested,0
me081e222,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1100,1104,30,30," == "," != ",untested,0
m8ae4e3f1,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1174,1178,31,31," <= ","  < ",untested,0
m2a68029b,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1174,1178,31,31," <= ","  > ",untested,0
md919db31,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1174,1178,31,31," <= "," >= ",untested,0
ma3dab99b,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1174,1178,31,31," <= "," != ",untested,0
m737a3056,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1174,1178,31,31," <= "," == ",untested,0
mf0d111c1,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1166,1169,31,31," + "," - ",untested,0
m0d2d002b,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1166,1169,31,31," + "," * ",untested,0
m05e3d3b4,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1166,1169,31,31," + "," / ",untested,0
m583e7724,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1166,1169,31,31," + "," ** ",untested,0
m61cc2478,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1166,1169,31,31," + "," % ",untested,0
me992bc9a,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1507,1510,40,40," > "," >=  ",untested,0
m1fa8c036,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1507,1510,40,40," > "," <=  ",untested,0
m501b987a,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1507,1510,40,40," > "," < ",untested,0
mda974b54,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1507,1510,40,40," > "," != ",untested,0
mc9721b12,/Users/davidroman/Documents/code/github/metana-bootcamp/module-4/contracts/m1/erc-refund.sol,BOR,1507,1510,40,40," > "," == ",untested,0
